sentiment,text,date,cleaned_text,tokens
positive,hellooo agaain tweeps ,Mon May 18 05:51:51 PDT 2009,hellooo agaain tweeps,"['hellooo', 'agaain', 'tweeps']"
positive,"@dontforgetchaos He/shes doing it now, before it pours with rain! ",Sun May 03 01:45:46 PDT 2009,heshes doing it now before it pours with rain,"['heshes', 'pours', 'rain']"
negative,@megeestah missed you tonight ,Mon Jun 15 01:37:28 PDT 2009,missed you tonight,"['missed', 'tonight']"
positive,just droppin by to say hello to everyone.. I hope you are having a great day. Rock on! ,Tue Jun 16 03:03:17 PDT 2009,just droppin by to say hello to everyone i hope you are having a great day rock on,"['droppin', 'say', 'hello', 'everyone', 'hope', 'great', 'day', 'rock']"
positive,I am so glad kris allen won! Him and his wife katy are such a cute couple ,Thu May 21 23:44:35 PDT 2009,i am so glad kris allen won him and his wife katy are such a cute couple,"['glad', 'kris', 'allen', 'wife', 'katy', 'cute', 'couple']"
positive,Treat People As If They Were What They Ought To Be And You Help Them To Become What They Are Capable Of Being ,Sat Jun 06 01:08:05 PDT 2009,treat people as if they were what they ought to be and you help them to become what they are capable of being,"['treat', 'people', 'ought', 'help', 'become', 'capable']"
positive,Goodmorning  @warothe,Sat Jun 06 21:53:13 PDT 2009,goodmorning,['goodmorning']
positive,"@sweet_italian15 OH nvm I know what ur talkin bout. The clips r from movies and/or tv shows that DDUB did, not real life kisses hehe ",Sun Jun 07 01:04:08 PDT 2009,oh nvm i know what ur talkin bout the clips r from movies andor tv shows that ddub did not real life kisses hehe,"['oh', 'nvm', 'know', 'ur', 'talkin', 'bout', 'clip', 'r', 'movie', 'andor', 'tv', 'show', 'ddub', 'real', 'life', 'kiss', 'hehe']"
positive,@myraderobles: no worries like I said tomorrow will be party time ,Sat May 30 00:31:01 PDT 2009,no worries like i said tomorrow will be party time,"['worry', 'like', 'said', 'tomorrow', 'party', 'time']"
positive,@mlm_marketer Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,Sun Jun 07 09:45:28 PDT 2009,get 100 followers a day using  once you add everyone you are on the train or pay vip,"['get', '100', 'follower', 'day', 'using', 'add', 'everyone', 'train', 'pay', 'vip']"
positive,Ahhhh -- I love the smell of workers in the morning ,Fri May 22 00:24:15 PDT 2009,ahhhh  i love the smell of workers in the morning,"['ahhhh', 'love', 'smell', 'worker', 'morning']"
negative,"how do I load a profile pic, it keeps telling me it's too big even though it isn't!!! AArrggghhh! ",Sat May 30 15:22:56 PDT 2009,how do i load a profile pic it keeps telling me its too big even though it isnt aarrggghhh,"['load', 'profile', 'pic', 'keep', 'telling', 'big', 'even', 'though', 'isnt', 'aarrggghhh']"
positive,"@TheSUPERGIRL oh  i like to run on an empty stumke  way more, runing early in the morning is really great! hehe maybe some day ill drag ya",Mon Jun 15 03:42:13 PDT 2009,oh  i like to run on an empty stumke  way more runing early in the morning is really great hehe maybe some day ill drag ya,"['oh', 'like', 'run', 'empty', 'stumke', 'way', 'runing', 'early', 'morning', 'really', 'great', 'hehe', 'maybe', 'day', 'ill', 'drag', 'ya']"
negative,"@ashleytisdale wish we could come, buy we living in the other side of the world ",Fri Jun 19 12:20:57 PDT 2009,wish we could come buy we living in the other side of the world,"['wish', 'could', 'come', 'buy', 'living', 'side', 'world']"
positive,@ZS373JI7 i like how ur freakin amazingly awesome ! ,Sun May 17 21:05:33 PDT 2009,i like how ur freakin amazingly awesome,"['like', 'ur', 'freakin', 'amazingly', 'awesome']"
negative,@julianantonio it is so boring here!!!! i want to do something but everyone is fucking sleeping!!!! ggggrrrrrrrrr ,Thu Jun 18 00:21:09 PDT 2009,it is so boring here i want to do something but everyone is fucking sleeping ggggrrrrrrrrr,"['boring', 'want', 'something', 'everyone', 'fucking', 'sleeping', 'ggggrrrrrrrrr']"
negative,hobo robot. Hobot ,Fri Jun 19 22:50:12 PDT 2009,hobo robot hobot,"['hobo', 'robot', 'hobot']"
negative,@ultravi0let Yeah but I have no money  And I'd get lost going through terminals in different countries or miss a flight &amp; get stranded lol,Mon Jun 15 04:28:24 PDT 2009,yeah but i have no money  and id get lost going through terminals in different countries or miss a flight amp get stranded lol,"['yeah', 'money', 'id', 'get', 'lost', 'going', 'terminal', 'different', 'country', 'miss', 'flight', 'amp', 'get', 'stranded', 'lol']"
negative,@jcsextro I support multiple projects @ any given time so rarely am regular scrum participant. I needed to be @ this one. ,Tue Jun 23 08:28:27 PDT 2009,i support multiple projects  any given time so rarely am regular scrum participant i needed to be  this one,"['support', 'multiple', 'project', 'given', 'time', 'rarely', 'regular', 'scrum', 'participant', 'needed', 'one']"
positive,Movie Night with all my friends at the church! ,Sun May 31 12:38:30 PDT 2009,movie night with all my friends at the church,"['movie', 'night', 'friend', 'church']"
positive,@MDot412 awwww how tweet of u ,Wed Jun 03 09:05:49 PDT 2009,a how tweet of u,"['tweet', 'u']"
positive,"@NAWBOLA yeah you missed it. No worries, I corrected the record on your behalf   #trivia",Sun May 31 11:21:53 PDT 2009,yeah you missed it no worries i corrected the record on your behalf,"['yeah', 'missed', 'worry', 'corrected', 'record', 'behalf']"
negative,@andyhey Pity it's not for longer ,Thu Jun 18 04:56:04 PDT 2009,pity its not for longer,"['pity', 'longer']"
negative,is mad he can't remember the original lyrics he wrote ,Wed Jun 03 00:54:47 PDT 2009,is mad he cant remember the original lyrics he wrote,"['mad', 'cant', 'remember', 'original', 'lyric', 'wrote']"
negative,The dress was done and I was just putting in the buttonholes when the bobbin caught on something and tore the dress   ,Tue Jun 16 20:48:33 PDT 2009,the dress was done and i was just putting in the buttonholes when the bobbin caught on something and tore the dress,"['dress', 'done', 'putting', 'buttonhole', 'bobbin', 'caught', 'something', 'tore', 'dress']"
negative,It's gym it's grim it's 5.48 ,Mon Jun 01 21:49:12 PDT 2009,its gym its grim its 548,"['gym', 'grim', '548']"
positive,u guys should check out my youtube video i made: http://bit.ly/26bA5u  i would love a comment ,Sat Jun 06 17:21:20 PDT 2009,u guys should check out my youtube video i made   i would love a comment,"['u', 'guy', 'check', 'youtube', 'video', 'made', 'would', 'love', 'comment']"
positive,In work. Lunch cancelled. Boss not in. More time to prepare presentation ,Mon Jun 15 03:47:46 PDT 2009,in work lunch cancelled boss not in more time to prepare presentation,"['work', 'lunch', 'cancelled', 'bos', 'time', 'prepare', 'presentation']"
negative,@kizabrat I'm sorry that happened to you.. Are you sure it wasn't him ? Or you know it was someone else ? ,Mon Jun 01 11:23:50 PDT 2009,im sorry that happened to you are you sure it wasnt him  or you know it was someone else,"['im', 'sorry', 'happened', 'sure', 'wasnt', 'know', 'someone', 'else']"
positive,"#WWDC new iphone tomorro!?  stop calling it iphone video, sounds shit!",Sun Jun 07 13:44:09 PDT 2009,new iphone tomorro  stop calling it iphone video sounds shit,"['new', 'iphone', 'tomorro', 'stop', 'calling', 'iphone', 'video', 'sound', 'shit']"
positive,@akira_t You should have dared him to burn his car too. Nothing impresses chicks more. ,Mon Jun 01 00:34:00 PDT 2009,you should have dared him to burn his car too nothing impresses chicks more,"['dared', 'burn', 'car', 'nothing', 'impress', 'chick']"
positive,loves singing.  my pal : Regina,Tue Apr 21 02:01:13 PDT 2009,loves singing  my pal  regina,"['love', 'singing', 'pal', 'regina']"
negative,"keeps turning at the sound of footsteps, hoping it will be her sysadmin. Wants lunch ",Fri Jun 05 09:16:02 PDT 2009,keeps turning at the sound of footsteps hoping it will be her sysadmin wants lunch,"['keep', 'turning', 'sound', 'footstep', 'hoping', 'sysadmin', 'want', 'lunch']"
positive,What a day... Had a blowout on the highway thankfully father in law came to my rescue ,Sat Jun 06 19:26:35 PDT 2009,what a day had a blowout on the highway thankfully father in law came to my rescue,"['day', 'blowout', 'highway', 'thankfully', 'father', 'law', 'came', 'rescue']"
negative,Finished work =D now need to get another white top cos my badge marked the one i had over this. ,Sun May 31 06:08:50 PDT 2009,finished work d now need to get another white top cos my badge marked the one i had over this,"['finished', 'work', 'need', 'get', 'another', 'white', 'top', 'co', 'badge', 'marked', 'one']"
negative,To all those on their way to @media2009 have a great 2 days. Wish i hadn't had to give my seat up ,Wed Jun 24 23:11:16 PDT 2009,to all those on their way to  have a great 2 days wish i hadnt had to give my seat up,"['way', 'great', '2', 'day', 'wish', 'hadnt', 'give', 'seat']"
positive,I  just made the most amazing Banana Bread ,Mon Apr 06 23:22:42 PDT 2009,i  just made the most amazing banana bread,"['made', 'amazing', 'banana', 'bread']"
positive,@shefaly Morning shefaly..the sun's always blinding..its the level of shade that you have that makes it bearable/nice ,Sat May 30 00:36:54 PDT 2009,morning shefalythe suns always blindingits the level of shade that you have that makes it bearablenice,"['morning', 'shefalythe', 'sun', 'always', 'blindingits', 'level', 'shade', 'make', 'bearablenice']"
positive,I Would Like 20 More Followers By The End Of The Day Please  Not That You Guys Aren't Good Enough =D,Tue Jun 02 07:13:10 PDT 2009,i would like 20 more followers by the end of the day please  not that you guys arent good enough d,"['would', 'like', '20', 'follower', 'end', 'day', 'please', 'guy', 'arent', 'good', 'enough']"
negative,My laptop power cord is not charging my laptop  Hopefully I can get a new one soon. I miss being online ,Sun May 31 17:35:05 PDT 2009,my laptop power cord is not charging my laptop  hopefully i can get a new one soon i miss being online,"['laptop', 'power', 'cord', 'charging', 'laptop', 'hopefully', 'get', 'new', 'one', 'soon', 'miss', 'online']"
positive,You don't play bad guitar btw... ,Sat Jun 06 01:17:18 PDT 2009,you dont play bad guitar btw,"['dont', 'play', 'bad', 'guitar', 'btw']"
negative,http://bit.ly/CwWbz  look at the last comment  my day = ruined,Sat May 30 13:22:30 PDT 2009,look at the last comment  my day  ruined,"['look', 'last', 'comment', 'day', 'ruined']"
negative,Lost everything on laptop  Won't be able to CG anything properly untl about 6 ,Tue Apr 07 02:58:25 PDT 2009,lost everything on laptop  wont be able to cg anything properly untl about 6,"['lost', 'everything', 'laptop', 'wont', 'able', 'cg', 'anything', 'properly', 'untl', '6']"
positive,@PompeyHendo glad you took the crap weather with you. Today was glorious in the Lakes ,Sun Jun 07 13:29:43 PDT 2009,glad you took the crap weather with you today was glorious in the lakes,"['glad', 'took', 'crap', 'weather', 'today', 'glorious', 'lake']"
positive,"Just got done getting ready. ZOMG, ignorance is an amazing song.  I listened to it about 100 times already haha.",Mon May 18 07:15:41 PDT 2009,just got done getting ready zomg ignorance is an amazing song  i listened to it about 100 times already haha,"['got', 'done', 'getting', 'ready', 'zomg', 'ignorance', 'amazing', 'song', 'listened', '100', 'time', 'already', 'haha']"
positive,going to bed. goodnight  ily all.,Sun May 31 00:13:39 PDT 2009,going to bed goodnight  ily all,"['going', 'bed', 'goodnight', 'ily']"
negative,"Wow. Possibly the worst night ever, working with jamon and M and cavs are down 18 at the half  fail",Sat May 30 20:56:16 PDT 2009,wow possibly the worst night ever working with jamon and m and cavs are down 18 at the half  fail,"['wow', 'possibly', 'worst', 'night', 'ever', 'working', 'jamon', 'cavs', '18', 'half', 'fail']"
positive,@schaeferj89 aw im sure you sounded fine  I slept ALL DAY! lol! just got off the phone to James's band mate bondie ,Mon Jun 15 10:11:00 PDT 2009,aw im sure you sounded fine  i slept all day lol just got off the phone to jamess band mate bondie,"['aw', 'im', 'sure', 'sounded', 'fine', 'slept', 'day', 'lol', 'got', 'phone', 'james', 'band', 'mate', 'bondie']"
positive,@thomasfiss they're SO awesome &lt;3 bigger than love is one of my fav songs at the moment...p.s. check ur myspace messages  ,Wed Jun 03 00:59:58 PDT 2009,theyre so awesome lt3 bigger than love is one of my fav songs at the momentps check ur myspace messages,"['theyre', 'awesome', 'lt3', 'bigger', 'love', 'one', 'fav', 'song', 'momentps', 'check', 'ur', 'myspace', 'message']"
positive,HAHAHAHAHAHAHAHA (!) Let me laugh all I want now. ,Sat Jun 06 22:41:19 PDT 2009,hahahahahahahaha  let me laugh all i want now,"['hahahahahahahaha', 'let', 'laugh', 'want']"
negative,@Jamesyyy I have been  It's been no good.,Thu May 28 22:36:09 PDT 2009,i have been  its been no good,['good']
negative,@MCRsavedMilife i didnt know you were even on. im sorry ,Sun May 17 10:29:42 PDT 2009,i didnt know you were even on im sorry,"['didnt', 'know', 'even', 'im', 'sorry']"
positive,GD NITE TWITTZ!!!!! I THINK ERRBODY SLEEP EXCEPT 4ME...LOL OH WELL...HOLLA @ YALL IN DA A.M  PEACE OUT!!!!!!,Mon Jun 01 22:39:57 PDT 2009,gd nite twittz i think errbody sleep except 4melol oh wellholla  yall in da am  peace out,"['gd', 'nite', 'twittz', 'think', 'errbody', 'sleep', 'except', '4melol', 'oh', 'wellholla', 'yall', 'da', 'peace']"
negative,Gaaaaaa! Wisdom teeth coming in ,Tue Jun 23 07:43:38 PDT 2009,gaaaaaa wisdom teeth coming in,"['gaaaaaa', 'wisdom', 'teeth', 'coming']"
negative,omggg i want peanut butter ,Mon Jun 22 15:48:26 PDT 2009,omggg i want peanut butter,"['omggg', 'want', 'peanut', 'butter']"
negative,Slightly sad. Love listening to 70's Saturday Mix #mixfm70s. But miss hosting the mix today  Can't put off home improvement projects tho,Sat Jun 20 17:12:12 PDT 2009,slightly sad love listening to 70s saturday mix  but miss hosting the mix today  cant put off home improvement projects tho,"['slightly', 'sad', 'love', 'listening', '70', 'saturday', 'mix', 'miss', 'hosting', 'mix', 'today', 'cant', 'put', 'home', 'improvement', 'project', 'tho']"
negative,"@louisgray I thought it was just new updates, but now seems all in my timeline. ",Sun May 31 16:23:47 PDT 2009,i thought it was just new updates but now seems all in my timeline,"['thought', 'new', 'update', 'seems', 'timeline']"
positive,puzzled with twitter.. ,Thu May 14 03:32:00 PDT 2009,puzzled with twitter,"['puzzled', 'twitter']"
positive,Can't stop laughing seeing the picture and it's comment..  http://myloc.me/3SY0,Sun Jun 14 22:45:47 PDT 2009,cant stop laughing seeing the picture and its comment,"['cant', 'stop', 'laughing', 'seeing', 'picture', 'comment']"
negative,on the way home ,Sat Jun 20 16:45:38 PDT 2009,on the way home,"['way', 'home']"
positive,"@chibirose True, better off waiting for rain in your area then. ",Sun Jun 07 15:05:43 PDT 2009,true better off waiting for rain in your area then,"['true', 'better', 'waiting', 'rain', 'area']"
positive,@brookeburke OMG you gotta a girlfriend?  That is so hot! ,Fri Jun 05 16:24:33 PDT 2009,omg you gotta a girlfriend  that is so hot,"['omg', 'got', 'ta', 'girlfriend', 'hot']"
negative,I NEED THE SIMS 3 ,Tue Jun 02 22:47:38 PDT 2009,i need the sims 3,"['need', 'sims', '3']"
positive,Wearing my Texas Rangers baseball cap today. ,Tue Jun 02 17:31:41 PDT 2009,wearing my texas rangers baseball cap today,"['wearing', 'texas', 'ranger', 'baseball', 'cap', 'today']"
positive,@TaliaEsq hey found ya...you guys were super fun stay in touch and keep an eye on that Yael   bonnnaroooooo,Mon Jun 15 19:30:37 PDT 2009,hey found yayou guys were super fun stay in touch and keep an eye on that yael   bonnnaroooooo,"['hey', 'found', 'yayou', 'guy', 'super', 'fun', 'stay', 'touch', 'keep', 'eye', 'yael', 'bonnnaroooooo']"
positive,talking to people ,Sun Jun 07 02:37:41 PDT 2009,talking to people,"['talking', 'people']"
negative,I feel so fat and ugly today. ,Tue Jun 16 18:09:58 PDT 2009,i feel so fat and ugly today,"['feel', 'fat', 'ugly', 'today']"
negative,"im lonely  keep me company! 22 female, Minneapolis - Minnesota",Sat Apr 18 15:29:04 PDT 2009,im lonely  keep me company 22 female minneapolis  minnesota,"['im', 'lonely', 'keep', 'company', '22', 'female', 'minneapolis', 'minnesota']"
positive,"@lickmycupcakes how boring does your job sound? lol sorry  im a stay at home mum atm, but next year i wanna do the nursing thing ",Thu Jun 04 23:11:02 PDT 2009,how boring does your job sound lol sorry  im a stay at home mum atm but next year i wanna do the nursing thing,"['boring', 'job', 'sound', 'lol', 'sorry', 'im', 'stay', 'home', 'mum', 'atm', 'next', 'year', 'wan', 'na', 'nursing', 'thing']"
negative,@chaseblair So much for beautiful day uh? ,Thu Jun 18 07:47:29 PDT 2009,so much for beautiful day uh,"['much', 'beautiful', 'day', 'uh']"
negative,Wow did I really forget my car wasn't parked at my house.....   STRANDED!!! Not a good feeling!!,Sat May 09 22:14:49 PDT 2009,wow did i really forget my car wasnt parked at my house   stranded not a good feeling,"['wow', 'really', 'forget', 'car', 'wasnt', 'parked', 'house', 'stranded', 'good', 'feeling']"
negative,@jesuisloser I need to shower but the water is too hot ,Sun May 31 04:37:36 PDT 2009,i need to shower but the water is too hot,"['need', 'shower', 'water', 'hot']"
positive,@MussoliniMetro OMG OMG OMG OMG OMG Blake spoke to you via twitter  arrgghhh you were privileged to get a tweet from Blake ,Sat Jun 06 02:31:46 PDT 2009,omg omg omg omg omg blake spoke to you via twitter  arrgghhh you were privileged to get a tweet from blake,"['omg', 'omg', 'omg', 'omg', 'omg', 'blake', 'spoke', 'via', 'twitter', 'arrgghhh', 'privileged', 'get', 'tweet', 'blake']"
positive,@holytaleedoo man Rob u will be alright bro I know it  Ull find ur blessing,Tue Jun 02 11:57:06 PDT 2009,man rob u will be alright bro i know it  ull find ur blessing,"['man', 'rob', 'u', 'alright', 'bro', 'know', 'ull', 'find', 'ur', 'blessing']"
positive,It's Monday but I don't mind a bit because who cares about Mondays during Summer Vacation!  (ps: it's already 4:13. HA! XD),Mon Jun 15 01:10:57 PDT 2009,its monday but i dont mind a bit because who cares about mondays during summer vacation  ps its already 413 ha xd,"['monday', 'dont', 'mind', 'bit', 'care', 'monday', 'summer', 'vacation', 'p', 'already', '413', 'ha', 'xd']"
negative,DonÂ´t wanna think about my Bf...  But I am soooooo angry.....,Thu Jun 25 03:33:46 PDT 2009,donât wanna think about my bf  but i am soooooo angry,"['donât', 'wan', 'na', 'think', 'bf', 'soooooo', 'angry']"
positive,is in bed waiting on Homeboy to get home so i can call and talk to him till mornin light ,Fri Apr 17 21:17:33 PDT 2009,is in bed waiting on homeboy to get home so i can call and talk to him till mornin light,"['bed', 'waiting', 'homeboy', 'get', 'home', 'call', 'talk', 'till', 'mornin', 'light']"
positive,it reallly sucks being absent and having to do missing work; and luckily i downloaded a bunch of songs on my ipod ,Sun May 03 21:01:57 PDT 2009,it reallly sucks being absent and having to do missing work and luckily i downloaded a bunch of songs on my ipod,"['reallly', 'suck', 'absent', 'missing', 'work', 'luckily', 'downloaded', 'bunch', 'song', 'ipod']"
positive,in the car back to ctown with @dropyourguard gotta scrub up before trash! its been a good week ,Fri Jun 05 22:20:05 PDT 2009,in the car back to ctown with  gotta scrub up before trash its been a good week,"['car', 'back', 'ctown', 'got', 'ta', 'scrub', 'trash', 'good', 'week']"
positive,@tommcfly TOM! I want a Broccoli Played on stage ,Tue Jun 02 09:09:10 PDT 2009,tom i want a broccoli played on stage,"['tom', 'want', 'broccoli', 'played', 'stage']"
negative,Are there any games based on graphic design? I'd probably be crap at that one as well ,Tue Jun 16 16:29:29 PDT 2009,are there any games based on graphic design id probably be crap at that one as well,"['game', 'based', 'graphic', 'design', 'id', 'probably', 'crap', 'one', 'well']"
negative,"Laying in the bed because I just found out I've got to be up at 6am, yuck! Can't sleep though, bc of my nap earlier ",Mon Jun 01 20:46:21 PDT 2009,laying in the bed because i just found out ive got to be up at 6am yuck cant sleep though bc of my nap earlier,"['laying', 'bed', 'found', 'ive', 'got', '6am', 'yuck', 'cant', 'sleep', 'though', 'bc', 'nap', 'earlier']"
positive,Just working today in finishing 2 new tracks  Finaly was in studio this weekend  Yeaaahhh ,Tue Jun 02 02:39:28 PDT 2009,just working today in finishing 2 new tracks  finaly was in studio this weekend  yeaaahhh,"['working', 'today', 'finishing', '2', 'new', 'track', 'finaly', 'studio', 'weekend', 'yeaaahhh']"
negative,Charging my cell phone. It kept saying &quot;Low Battery&quot; and it kept vibrating! I cant even finish my text message ,Sat Jun 06 00:10:27 PDT 2009,charging my cell phone it kept saying quotlow batteryquot and it kept vibrating i cant even finish my text message,"['charging', 'cell', 'phone', 'kept', 'saying', 'quotlow', 'batteryquot', 'kept', 'vibrating', 'cant', 'even', 'finish', 'text', 'message']"
positive,Everyone follow @NoWinSituation ... Rachel and Renee are the best! ,Wed May 27 07:19:30 PDT 2009,everyone follow   rachel and renee are the best,"['everyone', 'follow', 'rachel', 'renee', 'best']"
negative,needs $180 for this pedal  financial crisis on my hands,Tue Jun 02 23:31:17 PDT 2009,needs 180 for this pedal  financial crisis on my hands,"['need', '180', 'pedal', 'financial', 'crisis', 'hand']"
positive,@302NOW íë´ì¸ì. ,Wed Jun 03 06:04:32 PDT 2009,íëìì,['íëìì']
negative,@daisycrazyjess omg me too.  ,Wed Jun 17 11:30:15 PDT 2009,omg me too,['omg']
negative,I NEED to start my project that was due today...right now. I just don't get it!! ,Fri May 29 20:23:24 PDT 2009,i need to start my project that was due todayright now i just dont get it,"['need', 'start', 'project', 'due', 'todayright', 'dont', 'get']"
negative,"@EttejNahgaem OMG! ive done that once, although i got kicked in the face @ dance practice and it got scratched :| it hurt sooo bad  sorry!",Wed Jun 24 22:10:31 PDT 2009,omg ive done that once although i got kicked in the face  dance practice and it got scratched  it hurt sooo bad  sorry,"['omg', 'ive', 'done', 'although', 'got', 'kicked', 'face', 'dance', 'practice', 'got', 'scratched', 'hurt', 'sooo', 'bad', 'sorry']"
negative,@miszsarahz I hoep you can!! Josie is going to be so sad. ,Sat Jun 20 08:17:42 PDT 2009,i hoep you can josie is going to be so sad,"['hoep', 'josie', 'going', 'sad']"
positive,at last they ended together ,Mon Jun 15 01:06:59 PDT 2009,at last they ended together,"['last', 'ended', 'together']"
negative,@bevysmith oops :-X there I go not thinkin b4 I speak again...  I'm not being a hater...jst lookin at it frm a business side.,Mon Jun 15 07:34:00 PDT 2009,oops x there i go not thinkin b4 i speak again  im not being a haterjst lookin at it frm a business side,"['oops', 'x', 'go', 'thinkin', 'b4', 'speak', 'im', 'haterjst', 'lookin', 'frm', 'business', 'side']"
positive,@Superdawg Will you overnight some to Boston? ,Mon Jun 01 21:26:59 PDT 2009,will you overnight some to boston,"['overnight', 'boston']"
positive,@yeseningles Yeah but you're with family...that's awesome in itself. You all enjoy ,Sat Jun 06 09:18:21 PDT 2009,yeah but youre with familythats awesome in itself you all enjoy,"['yeah', 'youre', 'familythats', 'awesome', 'enjoy']"
negative,"I'm always wary of stepping on Roxy whenever I go to bed, she's always right next to my door ",Tue Jun 02 16:37:54 PDT 2009,im always wary of stepping on roxy whenever i go to bed shes always right next to my door,"['im', 'always', 'wary', 'stepping', 'roxy', 'whenever', 'go', 'bed', 'shes', 'always', 'right', 'next', 'door']"
negative,The bug bite on my face ITCHES. ,Thu Jun 18 13:37:03 PDT 2009,the bug bite on my face itches,"['bug', 'bite', 'face', 'itch']"
positive,Absolutely love it when people come to see me!  especially ones I don't see very often.,Sat May 30 16:23:56 PDT 2009,absolutely love it when people come to see me  especially ones i dont see very often,"['absolutely', 'love', 'people', 'come', 'see', 'especially', 'one', 'dont', 'see', 'often']"
positive,@Expert_Image  Thanks Charmaine!! Have an awesome day!!! ,Sun Jun 07 05:00:23 PDT 2009,thanks charmaine have an awesome day,"['thanks', 'charmaine', 'awesome', 'day']"
negative,I've been alive 8735 days and day 8736 will be my first without having a dog   RIP HERC....   ,Thu Jun 18 20:39:29 PDT 2009,ive been alive 8735 days and day 8736 will be my first without having a dog   rip herc,"['ive', 'alive', '8735', 'day', 'day', '8736', 'first', 'without', 'dog', 'rip', 'herc']"
positive,Listening To Sweet Misery By @CoreyLatif ,Fri Jun 05 14:09:04 PDT 2009,listening to sweet misery by,"['listening', 'sweet', 'misery']"
positive,Ahhhh finally its time tpo go home ,Sun May 17 11:04:01 PDT 2009,ahhhh finally its time tpo go home,"['ahhhh', 'finally', 'time', 'tpo', 'go', 'home']"
positive,Ok nurse pass the hob nobs iam ready for my cuppa .stay happy ,Mon Jun 15 06:19:15 PDT 2009,ok nurse pass the hob nobs iam ready for my cuppa stay happy,"['ok', 'nurse', 'pas', 'hob', 'nob', 'iam', 'ready', 'cuppa', 'stay', 'happy']"
negative,can't find any of my bows ,Tue Jun 16 05:51:09 PDT 2009,cant find any of my bows,"['cant', 'find', 'bow']"
negative,i want a vacation!!!!!!!!! ,Wed Jun 17 17:26:40 PDT 2009,i want a vacation,"['want', 'vacation']"
positive,Sitting at the Audi Joburg fashion week casting. So many lanky people in one place! Almost 100. Lol. Good luck to everyone  xx,Mon May 04 04:43:29 PDT 2009,sitting at the audi joburg fashion week casting so many lanky people in one place almost 100 lol good luck to everyone  xx,"['sitting', 'audi', 'joburg', 'fashion', 'week', 'casting', 'many', 'lanky', 'people', 'one', 'place', 'almost', '100', 'lol', 'good', 'luck', 'everyone', 'xx']"
negative,no one is signing up to come talk?  the lighting on this webcam sucks anyway...http://bit.ly/CZHD8,Mon Jun 01 23:20:20 PDT 2009,no one is signing up to come talk  the lighting on this webcam sucks anyway,"['one', 'signing', 'come', 'talk', 'lighting', 'webcam', 'suck', 'anyway']"
positive,Housewives finale today... Yaaaatzi! ,Mon May 18 03:16:06 PDT 2009,housewives finale today yaaaatzi,"['housewife', 'finale', 'today', 'yaaaatzi']"
positive,Headed back to the hotel for a hotel party ,Sat Apr 18 22:47:45 PDT 2009,headed back to the hotel for a hotel party,"['headed', 'back', 'hotel', 'hotel', 'party']"
negative,i wanna go to @Jonasbrothers concert in Tulsa tonite ,Mon Jun 22 12:47:04 PDT 2009,i wanna go to  concert in tulsa tonite,"['wan', 'na', 'go', 'concert', 'tulsa', 'tonite']"
negative,"@DevonEllington I get extra hols in my entitlement, but it gets boring  Turkey balls sound good. Gobble gobble lol!",Mon May 04 07:34:41 PDT 2009,i get extra hols in my entitlement but it gets boring  turkey balls sound good gobble gobble lol,"['get', 'extra', 'hols', 'entitlement', 'get', 'boring', 'turkey', 'ball', 'sound', 'good', 'gobble', 'gobble', 'lol']"
negative,On the lappy trying to grieve at the loss of my mobile phone ,Thu Jun 25 05:19:14 PDT 2009,on the lappy trying to grieve at the loss of my mobile phone,"['lappy', 'trying', 'grieve', 'loss', 'mobile', 'phone']"
negative,Studying for exams actually not really  i hate STUDYINGGGGGGGGGGGGGGGGGGGGGGGG ,Tue Jun 16 13:04:22 PDT 2009,studying for exams actually not really  i hate studyingggggggggggggggggggggggg,"['studying', 'exam', 'actually', 'really', 'hate', 'studyingggggggggggggggggggggggg']"
positive,I really really really really excited bcoz @dakotasays replies my tweeting ,Sat May 30 02:31:19 PDT 2009,i really really really really excited bcoz  replies my tweeting,"['really', 'really', 'really', 'really', 'excited', 'bcoz', 'reply', 'tweeting']"
negative,@mikemonday    x,Sun May 31 14:22:27 PDT 2009,x,['x']
positive,@Pampin26 awesome!  when u start?,Fri Jun 05 17:27:36 PDT 2009,awesome  when u start,"['awesome', 'u', 'start']"
positive,Thank you for the follow  http://bit.ly/m7lRb,Tue Jun 02 18:36:53 PDT 2009,thank you for the follow,"['thank', 'follow']"
negative,"@SpencerFosberry  Lol, my tweet was nothin to do with my trainers or clothes... although, I'm still not sure what I'm going to wear ",Fri Jun 19 05:57:25 PDT 2009,lol my tweet was nothin to do with my trainers or clothes although im still not sure what im going to wear,"['lol', 'tweet', 'nothin', 'trainer', 'clothes', 'although', 'im', 'still', 'sure', 'im', 'going', 'wear']"
negative,"fuck, still the cold, the flu, the grippe, it will be lovely to sit 4 ours today in the train  ",Sun May 03 00:30:01 PDT 2009,fuck still the cold the flu the grippe it will be lovely to sit 4 ours today in the train,"['fuck', 'still', 'cold', 'flu', 'grippe', 'lovely', 'sit', '4', 'today', 'train']"
negative,@Mandaabby I wish I could save you but you are 2 hours away from me ,Sat Jun 20 16:04:59 PDT 2009,i wish i could save you but you are 2 hours away from me,"['wish', 'could', 'save', '2', 'hour', 'away']"
negative,nope... it's broked. ,Thu Jun 18 14:07:23 PDT 2009,nope its broked,"['nope', 'broked']"
